year_month;monthly_revenue;monthly_orders
2016-09;26736;6
2016-10;4950766;363
2016-12;1090;1
2017-01;12031287;955
2017-02;24730302;1951
2017-03;37434430;3000
2017-04;35992723;2684
2017-05;50607114;4136
2017-06;43303860;3583
2017-07;49803148;4519
2017-08;57397168;4910
2017-09;62440169;4831
2017-10;66421943;5322
2017-11;101027137;8665
2017-12;74391417;6308
2018-01;95003036;8208
2018-02;84417871;7672
2018-03;98321344;8217
2018-04;99664775;7975
2018-05;99651768;7925
2018-06;86512431;7078
2018-07;89550722;7092
2018-08;85468633;7248
2018-09;14500;1
