category;revenue_2017;revenue_2018;growth
beleza saude;48175571;77223815;29048244
relogios presentes;49279450;70885094;21605644
utilidades domesticas;23107349;39988810;16881461
automotivo;24325571;34763115;10437544
construcao ferramentas construcao;2031528;12436231;10404703
bebes;15333403;25680070;10346667
informatica acessorios;40507869;50547631;10039762
esporte lazer;45214884;53256649;8041765
eletrodomesticos 2;2406488;8925286;6518798
moveis decoracao;33721312;38666859;4945547
eletronicos;5601116;10292859;4691743
portateis casa forno e cafe;82195;4662376;4580181
pet shop;8508170;12854403;4346233
papelaria;9458292;13636031;4177739
cama mesa banho;49844043;53806926;3962883
telefonia;14281464;18029331;3747867
casa construcao;2395245;5913567;3518322
construcao ferramentas iluminacao;405348;3702652;3297304
eletrodomesticos;2385083;5632070;3246987
instrumentos musicais;8188393;10961495;2773102
construcao ferramentas seguranca;826480;3227972;2401492
industria comercio e negocios;873657;3057344;2183687
audio;1757057;3296094;1539037
moveis escritorio;12900971;14365011;1464040
agro industria e comercio;2917920;4335127;1417207
sinalizacao e seguranca;444299;1706624;1262325
bebidas;500406;1742464;1242058
alimentos;873789;2057562;1183773
moveis cozinha area de servico jantar e jardim;1857664;2775173;917509
construcao ferramentas jardim;890769;1680820;790051
construcao ferramentas ferramentas;408729;1181666;772937
livros interesse geral;1963049;2710689;747640
livros tecnicos;576222;1306684;730462
artes;929179;1491085;561906
cine foto;69500;623846;554346
portateis cozinha e preparadores de alimentos;0;396853;396853
artigos de natal;285492;594590;309098
musica;155839;447596;291757
livros importados;112399;351586;239187
moveis quarto;884761;1118117;233356
artes e artesanato;15189;166212;151023
fraldas higiene;7600;135669;128069
artigos de festas;186339;262179;75840
flores;27050;83954;56904
pc gamer;51996;102599;50603
alimentos bebidas;744774;773174;28400
fashion roupa infanto juvenil;39988;16997;-22991
seguros e servicos;28329;0;-28329
casa conforto 2;60918;15109;-45809
la cuisine;127399;78100;-49299
cds dvds musicais;66500;6500;-60000
moveis colchao e estofado;254828;181980;-72848
fashion esporte;175001;36950;-138051
fashion roupa feminina;213208;61666;-151542
moveis sala;3528441;3363215;-165226
telefonia fixa;3037284;2850528;-186756
climatizacao;2825301;2506486;-318815
dvds blu ray;486668;113271;-373397
fashion underwear e moda praia;707255;246900;-460355
tablets impressao imagem;626045;126796;-499249
fashion roupa masculina;847105;230187;-616918
fashion calcados;1503611;849667;-653944
fashion bolsas e acessorios;8156515;7073919;-1082596
malas acessorios;7613619;6429379;-1184240
market place;1950671;756557;-1194114
eletroportateis;10136710;8928148;-1208562
casa conforto;3768859;2088345;-1680514
consoles games;8839445;6518851;-2320594
;10604731;7342208;-3262523
perfumaria;21497400;17846217;-3651183
ferramentas jardim;26888271;21501387;-5386884
pcs;15923079;6373234;-9549845
brinquedos;30797548;17150603;-13646945
cool stuff;39362065;24055920;-15306145
