order_id;category;price;avg_category_price;deviation
0812eb902a67711a1cb742b3cdaa65ae;utilidades domesticas;6735;80;6655
f5136e38d1a14a4dbd87dff67da82701;artes;6499;122;6377
fefacc66af859508bf1a7934eab1e97f;pcs;6729;784;5945
a96610ab360d42a2e5335a3998b4718a;eletroportateis;4799;302;4497
199af31afc78c699f0dbf71fb178d4d4;eletroportateis;4690;302;4388
426a9742b533fc6fed17d1fd6d143d7e;instrumentos musicais;4399,87;212;4187
b239ca7cd485940b31882363b52e6674;esporte lazer;4059;94;3965
68101694e5c5dc7330c91e1bbc36214f;consoles games;4099,99;158;3941
9a3966c23190dbdbaabed08e8429c006;;3980;97;3883
41b7766bb1df487d17fb9725b78ff509;ferramentas jardim;3930;87;3843
8dbc85d1447242f3b127dda390d56e19;pcs;4590;784;3806
86c4eab1571921a6a6e248ed312f5a5a;relogios presentes;3999,9;222;3777
9de73f3e6157169ad6c32b9f313c7dcb;bebes;3899;124;3775
80dfedb6d17bf23539beeef3c768f4d7;eletroportateis;3999;302;3697
e85c92ee6a3ba1ef47e41c23286314d9;informatica acessorios;3699,99;98;3601
a53e05ecd2ed1f46a2b8e1f5828be7c6;esporte lazer;3690;94;3596
d3f66901a6743e15f9311547cc623b91;relogios presentes;3700;222;3478
aef19c7ffbe816963b54aa3bd8777f1b;moveis decoracao;998,9;69;929
f008d12c8af46ec384fe7917b2991f7f;moveis decoracao;998,9;69;929
3b61aab5de69abc1731138bd104a777f;cama mesa banho;999,99;73;926
