year_month;monthly_revenue;monthly_orders
2016-09;262;3
2016-10;49238;308
2016-12;10;1
2017-01;119659;789
2017-02;245976;1733
2017-03;372349;2641
2017-04;358139;2391
2017-05;503311;3660
2017-06;430602;3217
2017-07;495037;3969
2017-08;570824;4293
2017-09;621374;4243
2017-10;660884;4568
2017-11;1004981;7451
2017-12;740119;5624
2018-01;945133;7220
2018-02;839573;6694
2018-03;978512;7188
2018-04;992137;6934
2018-05;992105;6853
2018-06;861222;6160
2018-07;891589;6273
2018-08;850752;6452
2018-09;145;1
